DT_LEITURA,VL_TEMP_MEDIA
2018-01-01,23.8539455
2018-01-02,24.2238000
2018-01-03,22.1268000
2018-01-04,22.2856727
2018-01-05,22.2708727
2018-01-06,22.6743818
2018-01-07,18.9741273
2018-01-08,19.3707273
2018-01-09,21.1367455
2018-01-10,22.8967818
2018-01-11,23.5674727
2018-01-12,22.2234364
2018-01-13,22.7330727
2018-01-14,24.1066000
2018-01-15,24.8799091
2018-01-16,24.4763636
2018-01-17,24.9792000
2018-01-18,26.5117273
2018-01-19,24.6280364
2018-01-20,22.8483636
2018-01-21,23.5896909
2018-01-22,24.9759273
2018-01-23,25.3786182
2018-01-24,25.2662000
2018-01-25,24.3640364
2018-01-26,21.8827091
2018-01-27,21.0663455
2018-01-28,23.5764909
2018-01-29,23.5494000
2018-01-30,19.4527636
2018-01-31,20.4858909
2018-02-01,21.3518182
2018-02-02,21.8232909
2018-02-03,20.8867636
2018-02-04,20.0651091
2018-02-05,20.6667636
2018-02-06,20.3648182
2018-02-07,22.1226545
2018-02-08,23.9318909
2018-02-09,25.8840000
2018-02-10,24.5082727
2018-02-11,25.0444909
2018-02-12,25.6379091
2018-02-13,20.7054364
2018-02-14,19.5221818
2018-02-15,20.3858182
2018-02-16,19.7182909
2018-02-17,21.3985273
2018-02-18,21.3352000
2018-02-19,23.1001273
2018-02-20,24.3115091
2018-02-21,24.7289273
2018-02-22,24.0309818
2018-02-23,22.0105091
2018-02-24,21.7125455
2018-02-25,21.5337091
2018-02-26,21.8724909
2018-02-27,22.5094364
2018-02-28,23.8492909
2018-03-01,24.2983818
2018-03-02,24.4392545
2018-03-03,23.5045273
2018-03-04,24.5247273
2018-03-05,24.0038364
2018-03-06,24.2036364
2018-03-07,23.5692182
2018-03-08,21.6845455
2018-03-09,21.9428909
2018-03-10,22.1123818
2018-03-11,23.7286182
2018-03-12,24.9793636
2018-03-13,24.0103273
2018-03-14,25.1851273
2018-03-15,24.2933091
2018-03-16,25.7414909
2018-03-17,24.1156182
2018-03-18,24.2419818
2018-03-19,25.0302727
2018-03-20,24.6507818
2018-03-21,22.2860545
2018-03-22,21.8525455
2018-03-23,23.6264545
2018-03-24,24.5799273
2018-03-25,25.2766000
2018-03-26,23.6443636
2018-03-27,22.5486545
2018-03-28,22.0433273
2018-03-29,22.5085455
2018-03-30,22.6114909
2018-03-31,22.6417455
2018-04-01,23.5646727
2018-04-02,23.2962909
2018-04-03,22.8564182
2018-04-04,21.7354364
2018-04-05,22.0212727
2018-04-06,22.0488545
2018-04-07,21.6662364
2018-04-08,21.9272545
2018-04-09,21.7673455
2018-04-10,22.1566545
2018-04-11,21.7059091
2018-04-12,22.4305091
2018-04-13,23.5802909
2018-04-14,21.9402727
2018-04-15,19.6442000
2018-04-16,18.5420182
2018-04-17,18.7191455
2018-04-18,18.9430000
2018-04-19,18.9715455
2018-04-20,19.2947091
2018-04-21,18.8324909
2018-04-22,20.1356909
2018-04-23,20.8409636
2018-04-24,21.0056364
2018-04-25,21.6826000
2018-04-26,21.6212727
2018-04-27,22.1333273
2018-04-28,22.2415273
2018-04-29,21.8386727
2018-04-30,22.1681273
2018-05-01,21.8175636
2018-05-02,21.3480727
2018-05-03,22.1401091
2018-05-04,22.5446000
2018-05-05,22.5155273
2018-05-06,20.8073818
2018-05-07,20.4319273
2018-05-08,19.3381091
2018-05-09,19.3605091
2018-05-10,19.8230727
2018-05-11,21.2652182
2018-05-12,21.2500909
2018-05-13,18.6528727
2018-05-14,19.3724909
2018-05-15,19.6276182
2018-05-16,21.0096000
2018-05-17,20.1936364
2018-05-18,21.3182909
2018-05-19,20.6703273
2018-05-20,14.5609455
2018-05-21,14.2244909
2018-05-22,15.2818545
2018-05-23,15.5737091
2018-05-24,16.6946000
2018-05-25,17.5475818
2018-05-26,17.9421091
2018-05-27,17.6643455
2018-05-28,16.8799818
2018-05-29,17.3640727
2018-05-30,17.6119455
2018-05-31,18.1619273
2018-06-01,20.0692364
2018-06-02,20.3862545
2018-06-03,17.5036000
2018-06-04,15.0051636
2018-06-05,15.9514545
2018-06-06,17.5495818
2018-06-07,18.2234182
2018-06-08,17.0144727
2018-06-09,16.3370727
2018-06-10,18.4667818
2018-06-11,20.6346727
2018-06-12,23.4687818
2018-06-13,21.2761818
2018-06-14,16.6561636
2018-06-15,14.4426000
2018-06-16,14.4188364
2018-06-17,15.3339455
2018-06-18,16.6340727
2018-06-19,17.9362000
2018-06-20,18.8621818
2018-06-21,19.2339091
2018-06-22,19.3316545
2018-06-23,19.7299818
2018-06-24,21.3832182
2018-06-25,20.4104727
2018-06-26,20.7030000
2018-06-27,18.6189273
2018-06-28,19.4666545
2018-06-29,19.6163455
2018-06-30,19.7192545
2018-07-01,19.6742545
2018-07-02,20.1043091
2018-07-03,18.8336000
2018-07-04,17.6265091
2018-07-05,18.8418545
2018-07-06,19.6707273
2018-07-07,18.9643455
2018-07-08,20.1530182
2018-07-09,18.4870727
2018-07-10,13.0699273
2018-07-11,11.5074545
2018-07-12,12.6192000
2018-07-13,14.7336909
2018-07-14,18.2923818
2018-07-15,19.0437273
2018-07-16,19.8211455
2018-07-17,19.3560182
2018-07-18,20.3513273
2018-07-19,20.7347091
2018-07-20,21.6601818
2018-07-21,19.8380909
2018-07-22,17.0151636
2018-07-23,19.0178364
2018-07-24,16.8911636
2018-07-25,17.6088545
2018-07-26,18.4127636
2018-07-27,19.8329273
2018-07-28,20.6687636
2018-07-29,22.1252545
2018-07-30,19.2530000
2018-07-31,15.6663636
2018-08-01,13.3202000
2018-08-02,14.5630364
2018-08-03,15.5782364
2018-08-04,16.9479636
2018-08-05,16.5178182
2018-08-06,14.1194727
2018-08-07,14.5445273
2018-08-08,17.9127636
2018-08-09,19.5517091
2018-08-10,15.8745091
2018-08-11,15.3012909
2018-08-12,13.4918364
2018-08-13,14.4851636
2018-08-14,17.5623273
2018-08-15,15.3265455
2018-08-16,15.4348545
2018-08-17,15.1922909
2018-08-18,16.4068909
2018-08-19,18.4155091
2018-08-20,20.2230909
2018-08-21,19.4041455
2018-08-22,18.9476545
2018-08-23,21.6770909
2018-08-24,23.1300364
2018-08-25,19.1132000
2018-08-26,13.5610727
2018-08-27,13.0603455
2018-08-28,16.8712000
2018-08-29,18.5100909
2018-08-30,21.2828182
2018-08-31,22.3845455
2018-09-01,22.3469091
2018-09-02,21.4183273
2018-09-03,19.0578364
2018-09-04,13.8851455
2018-09-05,13.1542182
2018-09-06,14.1242000
2018-09-07,17.2012182
2018-09-08,16.8421636
2018-09-09,16.8092000
2018-09-10,17.5861818
2018-09-11,17.6696182
2018-09-12,17.5525636
2018-09-13,18.5840909
2018-09-14,17.3864909
2018-09-15,18.4028545
2018-09-16,17.3104364
2018-09-17,17.1357818
2018-09-18,20.1731091
2018-09-19,23.3128000
